# critic re-read of P5-PAINT 16x16 (lane dev :4238, tree = pass5.diff on 74a2b5d9); cols: engine theme op hex on n | vsOff max/p30/median/worst/fracUnder3 | isTheRing delta | sensitivity
## live chromium payload ATQuMDAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDAwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzA2MDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMDAwZzAyMDA1MDcwMGEwYzAzMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MGIwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwMDA2MDgwMGIwZDAwZzAyMDgwMGIwZDAwZzAyMDA1MDcwZDAwZzAyMDA1MDcwMGEwZzAyMDA1MDcwMGEwYzAwZg given 102
webkit dark 0.95 #3a7bc4 paper n=60 | 3.997/3.997/3.997/3.997/0 | true 1 | 50%:1.872(21/60) 70%:3.347(0/60) 90%:3.461(0/60) 100%:3.997(0/60)
webkit dark 0.95 #2f68aa FRAME n=60 | 3.096/3.09/3.096/3.065/0 | true 2 | 50%:1.133(52/60) 70%:2.164(44/60) 90%:2.896(5/60) 100%:3.096(0/39)
webkit dark 0.95 #2f68aa paper n=60 | 3.096/3.096/3.096/3.096/0 | true 2 | 50%:1.638(25/60) 70%:2.618(24/60) 90%:2.737(18/60) 100%:3.096(0/60)
webkit dark 0.95 #306cb0 FRAME n=60 | 3.274/3.267/3.274/2.919/0.217 | true 1 | 50%:1.122(58/60) 70%:2.228(50/60) 90%:2.919(21/60) 100%:3.274(0/39)
webkit dark 0.95 #306cb0 paper n=60 | 3.274/3.274/3.274/3.274/0 | true 1 | 50%:1.684(25/60) 70%:2.77(12/60) 90%:2.897(6/60) 100%:3.274(0/60)
webkit dark 1 #3a7bc4 FRAME n=60 | 4.286/4.286/4.286/2.528/0.1 | true 0 | 50%:1.466(51/60) 70%:2.712(1/54) 90%:3.942(0/48) 100%:4.286(0/43)
webkit dark 1 #3a7bc4 paper n=60 | 4.286/4.286/4.286/4.286/0 | true 0 | 50%:1.96(18/60) 70%:3.553(0/60) 90%:3.715(0/60) 100%:4.286(0/60)
webkit dark 1 #2f68aa FRAME n=60 | 3.303/3.28/3.28/3.28/0 | true 0 | 50%:1.123(46/60) 70%:2.203(38/60) 90%:3.017(0/60) 100%:3.28(0/43)
webkit dark 1 #2f68aa paper n=60 | 3.28/3.28/3.28/3.28/0 | true 0 | 50%:1.687(21/60) 70%:2.745(14/60) 90%:2.905(8/60) 100%:3.28(0/60)
webkit dark 1 #306cb0 FRAME n=60 | 3.473/3.473/3.473/3.119/0 | true 0 | 50%:1.133(44/60) 70%:2.299(36/60) 90%:3.033(0/60) 100%:3.473(0/43)
webkit dark 1 #306cb0 paper n=60 | 3.473/3.473/3.473/3.473/0 | true 0 | 50%:1.739(20/60) 70%:2.91(5/60) 90%:3.039(0/60) 100%:3.473(0/60)
