engine	dpr	strip	arm	size	photo_delta	cov	skel_med_dev	max_over_med	stroke_over_h	apertures	paper_regions	tile_rgb	tile_on_strip	core_median	sub45_n	frac_under45	frac_under3	blur_sigma
chromium	1	light-strip	main	32	0.000	0.520	5.657	2.236	0.195	None	1	[250, 248, 245]	1.237	16.077	101	0.163	0.126	0
chromium	1	light-strip	main	48	0.000	0.522	8.000	2.151	0.182	None	1	[250, 248, 245]	1.237	16.077	138	0.104	0.080	
chromium	1	light-strip	opus	16	0.000	0.251	2.000	1.414	0.182	[2, 2]	1	[251, 250, 249]	1.258	18.387	35	0.372	0.277	0.150
chromium	1	light-strip	opus	180	0.000	0.254	22.091	1.056	0.180	None	1	[251, 250, 249]	1.258	18.991	440	0.051	0.041	
chromium	1	light-strip	opus	32	0.000	0.251	4.000	1.118	0.182	None	1	[251, 250, 249]	1.258	18.991	65	0.206	0.162	0.150
chromium	1	light-strip	opus	48	0.000	0.253	6.000	1.202	0.182	None	1	[251, 250, 249]	1.258	18.991	112	0.164	0.128	
chromium	2	dark-active	B	16	0.000	0.289	5.657	1.061	0.236	[4, 5]	1	[17, 15, 14]	1.584	16.182	66	0.183	0.142	0.150
chromium	2	dark-active	B	180	0.000	0.291	55.317	1.029	0.196	None	1	[17, 15, 14]	1.584	16.182	629	0.016	0.013	
chromium	2	dark-active	B	32	0.000	0.290	10.000	1.077	0.200	None	1	[17, 15, 14]	1.584	16.182	110	0.084	0.069	0.150
chromium	2	dark-active	B	48	0.000	0.290	14.560	1.099	0.197	None	1	[17, 15, 14]	1.584	16.182	184	0.064	0.048	
chromium	2	dark-active	P	16	0.000	0.229	2.828	2.550	0.118	[7, 7]	1	[17, 15, 14]	1.584	16.182	57	0.195	0.140	
chromium	2	dark-active	P	180	0.000	0.228	32.311	2.132	0.120	None	1	[17, 15, 14]	1.584	16.182	687	0.023	0.017	
chromium	2	dark-active	P	32	0.000	0.228	6.000	2.134	0.125	None	1	[17, 15, 14]	1.584	16.182	107	0.102	0.079	
chromium	2	dark-active	P	48	0.000	0.229	8.944	2.110	0.124	None	1	[17, 15, 14]	1.584	16.182	182	0.079	0.055	
chromium	2	dark-active	W	16	0.000	0.226	4.000	1.118	0.167	[5, 6]	1	[17, 15, 14]	1.584	16.182	57	0.199	0.139	0.150
chromium	2	dark-active	W	180	0.000	0.229	44.227	1.032	0.164	None	1	[17, 15, 14]	1.584	16.182	669	0.022	0.017	
chromium	2	dark-active	W	32	0.000	0.230	8.000	1.061	0.167	None	1	[17, 15, 14]	1.584	16.182	112	0.106	0.083	0.150
chromium	2	dark-active	W	48	0.000	0.228	12.000	1.067	0.167	None	1	[17, 15, 14]	1.584	16.182	167	0.073	0.060	
chromium	2	dark-active	fable	16	0.000	0.192	4.000	1.118	0.160	[4, 8]	1	[17, 15, 14]	1.584	16.182	53	0.212	0.172	0.150
chromium	2	dark-active	fable	180	0.000	0.195	44.272	1.031	0.156	None	1	[17, 15, 14]	1.584	16.182	550	0.021	0.017	
chromium	2	dark-active	fable	32	0.000	0.195	8.246	1.029	0.162	None	1	[17, 15, 14]	1.584	16.182	85	0.095	0.079	0
chromium	2	dark-active	fable	48	0.000	0.194	12.000	1.067	0.160	None	1	[17, 15, 14]	1.584	16.182	140	0.072	0.059	
chromium	2	dark-active	main	16	0.000	0.520	5.657	2.236	0.195	[5, 5]	1	[250, 248, 245]	11.384	16.077	101	0.163	0.126	0
chromium	2	dark-active	main	180	0.000	0.523	52.612	2.490	0.161	None	2	[250, 248, 245]	11.384	16.077	1040	0.015	0.012	
chromium	2	dark-active	main	32	0.000	0.523	11.042	2.112	0.190	None	1	[250, 248, 245]	11.384	16.077	185	0.080	0.066	0
chromium	2	dark-active	main	48	0.000	0.522	16.000	2.211	0.184	None	1	[250, 248, 245]	11.384	16.077	297	0.058	0.046	
chromium	2	dark-active	opus	16	0.000	0.251	4.000	1.118	0.182	[5, 5]	1	[17, 15, 14]	1.584	16.182	57	0.181	0.140	0.150
chromium	2	dark-active	opus	180	0.000	0.254	44.045	1.044	0.178	None	1	[17, 15, 14]	1.584	16.182	684	0.020	0.016	
chromium	2	dark-active	opus	32	0.000	0.254	8.000	1.118	0.182	None	1	[17, 15, 14]	1.584	16.182	120	0.103	0.075	0.150
chromium	2	dark-active	opus	48	0.000	0.253	12.000	1.067	0.182	None	1	[17, 15, 14]	1.584	16.182	189	0.075	0.058	
chromium	2	dark-strip	B	16	0.000	0.289	5.657	1.061	0.236	[4, 5]	1	[17, 15, 14]	1.187	16.182	66	0.183	0.142	0.150
chromium	2	dark-strip	B	180	0.000	0.291	55.317	1.029	0.196	None	1	[17, 15, 14]	1.187	16.182	629	0.016	0.013	
chromium	2	dark-strip	B	32	0.000	0.290	10.000	1.077	0.200	None	1	[17, 15, 14]	1.187	16.182	110	0.084	0.069	0.150
chromium	2	dark-strip	B	48	0.000	0.290	14.560	1.099	0.197	None	1	[17, 15, 14]	1.187	16.182	184	0.064	0.048	
chromium	2	dark-strip	P	16	0.000	0.229	2.828	2.550	0.118	[7, 7]	1	[17, 15, 14]	1.187	16.182	57	0.195	0.140	
chromium	2	dark-strip	P	180	0.000	0.228	32.311	2.132	0.120	None	1	[17, 15, 14]	1.187	16.182	687	0.023	0.017	
chromium	2	dark-strip	P	32	0.000	0.228	6.000	2.134	0.125	None	1	[17, 15, 14]	1.187	16.182	107	0.102	0.079	
chromium	2	dark-strip	P	48	0.000	0.229	8.944	2.110	0.124	None	1	[17, 15, 14]	1.187	16.182	182	0.079	0.055	
chromium	2	dark-strip	W	16	0.000	0.226	4.000	1.118	0.167	[5, 6]	1	[17, 15, 14]	1.187	16.182	57	0.199	0.139	0.150
chromium	2	dark-strip	W	180	0.000	0.229	44.227	1.032	0.164	None	1	[17, 15, 14]	1.187	16.182	669	0.022	0.017	
chromium	2	dark-strip	W	32	0.000	0.230	8.000	1.061	0.167	None	1	[17, 15, 14]	1.187	16.182	112	0.106	0.083	0.150
chromium	2	dark-strip	W	48	0.000	0.228	12.000	1.067	0.167	None	1	[17, 15, 14]	1.187	16.182	167	0.073	0.060	
chromium	2	dark-strip	fable	16	0.000	0.192	4.000	1.118	0.160	[4, 8]	1	[17, 15, 14]	1.187	16.182	53	0.212	0.172	0.150
chromium	2	dark-strip	fable	180	0.000	0.195	44.272	1.031	0.156	None	1	[17, 15, 14]	1.187	16.182	550	0.021	0.017	
chromium	2	dark-strip	fable	32	0.000	0.195	8.246	1.029	0.162	None	1	[17, 15, 14]	1.187	16.182	85	0.095	0.079	0
chromium	2	dark-strip	fable	48	0.000	0.194	12.000	1.067	0.160	None	1	[17, 15, 14]	1.187	16.182	140	0.072	0.059	
chromium	2	dark-strip	main	16	0.000	0.520	5.657	2.236	0.195	[5, 5]	1	[250, 248, 245]	15.187	16.077	101	0.163	0.126	0
chromium	2	dark-strip	main	180	0.000	0.523	52.612	2.490	0.161	None	2	[250, 248, 245]	15.187	16.077	1040	0.015	0.012	
chromium	2	dark-strip	main	32	0.000	0.523	11.042	2.112	0.190	None	1	[250, 248, 245]	15.187	16.077	185	0.080	0.066	0
chromium	2	dark-strip	main	48	0.000	0.522	16.000	2.211	0.184	None	1	[250, 248, 245]	15.187	16.077	297	0.058	0.046	
chromium	2	dark-strip	opus	16	0.000	0.251	4.000	1.118	0.182	[5, 5]	1	[17, 15, 14]	1.187	16.182	57	0.181	0.140	0.150
chromium	2	dark-strip	opus	180	0.000	0.254	44.045	1.044	0.178	None	1	[17, 15, 14]	1.187	16.182	684	0.020	0.016	
chromium	2	dark-strip	opus	32	0.000	0.254	8.000	1.118	0.182	None	1	[17, 15, 14]	1.187	16.182	120	0.103	0.075	0.150
chromium	2	dark-strip	opus	48	0.000	0.253	12.000	1.067	0.182	None	1	[17, 15, 14]	1.187	16.182	189	0.075	0.058	
chromium	2	light-active	B	16	0.000	0.289	5.657	1.061	0.236	[4, 5]	1	[251, 250, 249]	1.042	18.991	75	0.208	0.158	0.150
chromium	2	light-active	B	180	0.000	0.291	55.317	1.029	0.196	None	1	[251, 250, 249]	1.042	18.991	732	0.019	0.015	
chromium	2	light-active	B	32	0.000	0.290	10.000	1.077	0.200	None	1	[251, 250, 249]	1.042	18.991	130	0.099	0.077	0.150
chromium	2	light-active	B	48	0.000	0.290	14.560	1.099	0.197	None	1	[251, 250, 249]	1.042	18.991	217	0.076	0.059	
chromium	2	light-active	P	16	0.000	0.229	2.828	2.550	0.118	[7, 7]	1	[251, 250, 249]	1.042	18.991	68	0.231	0.180	
chromium	2	light-active	P	180	0.000	0.229	32.311	2.132	0.120	None	1	[251, 250, 249]	1.042	18.991	795	0.026	0.021	
chromium	2	light-active	P	32	0.000	0.229	6.000	2.134	0.125	None	1	[251, 250, 249]	1.042	18.991	131	0.124	0.098	
chromium	2	light-active	P	48	0.000	0.229	8.944	2.110	0.124	None	1	[251, 250, 249]	1.042	18.991	209	0.091	0.071	
chromium	2	light-active	W	16	0.000	0.227	4.000	1.118	0.167	[5, 6]	1	[251, 250, 249]	1.042	18.991	66	0.228	0.183	0.150
chromium	2	light-active	W	180	0.000	0.230	44.227	1.032	0.164	None	1	[251, 250, 249]	1.042	18.991	766	0.025	0.020	
chromium	2	light-active	W	32	0.000	0.230	8.000	1.061	0.167	None	1	[251, 250, 249]	1.042	18.991	129	0.121	0.099	0.150
chromium	2	light-active	W	48	0.000	0.228	12.000	1.067	0.167	None	1	[251, 250, 249]	1.042	18.991	198	0.087	0.069	
chromium	2	light-active	fable	16	0.000	0.192	4.000	1.118	0.160	[4, 8]	1	[251, 250, 249]	1.042	18.991	57	0.228	0.180	0.150
chromium	2	light-active	fable	180	0.000	0.195	44.272	1.031	0.156	None	1	[251, 250, 249]	1.042	18.991	632	0.024	0.019	
chromium	2	light-active	fable	32	0.000	0.195	8.246	1.029	0.162	None	1	[251, 250, 249]	1.042	18.991	110	0.122	0.088	0
chromium	2	light-active	fable	48	0.000	0.195	12.000	1.067	0.160	None	1	[251, 250, 249]	1.042	18.991	166	0.085	0.067	
chromium	2	light-active	main	16	0.000	0.520	5.657	2.236	0.195	[5, 5]	1	[250, 248, 245]	1.060	16.077	101	0.163	0.126	0
chromium	2	light-active	main	180	0.000	0.523	52.612	2.490	0.161	None	2	[250, 248, 245]	1.060	16.077	1040	0.015	0.012	
chromium	2	light-active	main	32	0.000	0.523	11.042	2.112	0.190	None	1	[250, 248, 245]	1.060	16.077	185	0.080	0.066	0
chromium	2	light-active	main	48	0.000	0.522	16.000	2.211	0.184	None	1	[250, 248, 245]	1.060	16.077	297	0.058	0.046	
chromium	2	light-active	opus	16	0.000	0.251	4.000	1.118	0.182	[5, 5]	1	[251, 250, 249]	1.042	18.991	65	0.206	0.162	0.150
chromium	2	light-active	opus	180	0.000	0.254	44.045	1.044	0.178	None	1	[251, 250, 249]	1.042	18.991	820	0.024	0.018	
chromium	2	light-active	opus	32	0.000	0.255	8.000	1.118	0.182	None	1	[251, 250, 249]	1.042	18.991	138	0.118	0.095	0.150
chromium	2	light-active	opus	48	0.000	0.254	12.000	1.067	0.182	None	1	[251, 250, 249]	1.042	18.991	220	0.087	0.070	
chromium	2	light-strip	B	16	0.000	0.289	5.657	1.061	0.236	[4, 5]	1	[251, 250, 249]	1.258	18.991	75	0.208	0.158	0.150
