arm | regime | theme | ground | engine | coarse | boardPx | median | worst | frac<3 | sens90 worst (n<3) | sens70
C-two-1.0 | desk-dpr3-fine | light | FRAME | webkit | False | 640 | 3.581 | 3.581 | 0 | 3.12 (0/39) | 2.39 (9/60)
C-two-1.0 | desk-dpr3-fine | light | paper | chromium | False | 640 | 3.581 | 3.581 | 0 | 3.159 (0/60) | 2.366 (18/60)
C-two-1.0 | desk-dpr3-fine | light | paper | webkit | False | 640 | 3.581 | 3.581 | 0 | 3.12 (0/60) | 2.386 (10/60)
C-two-1.0 | land-844x390-dpr3-coarse | dark | FRAME | chromium | True | 366 | 3.28 | 3.2 | 0 | 2.911 (1/60) | 2.26 (23/60)
C-two-1.0 | land-844x390-dpr3-coarse | dark | FRAME | webkit | True | 366 | 3.28 | 3.226 | 0 | 2.905 (2/60) | 2.268 (22/60)
C-two-1.0 | land-844x390-dpr3-coarse | dark | paper | chromium | True | 366 | 3.28 | 3.28 | 0 | 3.039 (0/60) | 2.26 (18/60)
C-two-1.0 | land-844x390-dpr3-coarse | dark | paper | webkit | True | 366 | 3.28 | 3.28 | 0 | 2.905 (4/60) | 2.233 (24/60)
C-two-1.0 | land-844x390-dpr3-coarse | light | FRAME | chromium | True | 366 | 3.581 | 3.467 | 0 | 3.12 (0/43) | 2.361 (12/60)
C-two-1.0 | land-844x390-dpr3-coarse | light | FRAME | webkit | True | 366 | 3.581 | 3.49 | 0 | 3.12 (0/43) | 2.452 (9/60)
C-two-1.0 | land-844x390-dpr3-coarse | light | paper | chromium | True | 366 | 3.581 | 3.581 | 0 | 3.326 (0/60) | 2.426 (15/60)
C-two-1.0 | land-844x390-dpr3-coarse | light | paper | webkit | True | 366 | 3.581 | 3.581 | 0 | 3.16 (0/60) | 2.366 (19/60)
C-two-1.0 | phone-390x844-dpr3-coarse | dark | FRAME | chromium | True | 366 | 3.28 | 3.2 | 0 | 2.911 (1/60) | 2.203 (24/60)
C-two-1.0 | phone-390x844-dpr3-coarse | dark | FRAME | webkit | True | 366 | 3.28 | 3.268 | 0 | 2.95 (2/60) | 2.268 (21/60)
C-two-1.0 | phone-390x844-dpr3-coarse | dark | paper | chromium | True | 366 | 3.28 | 3.28 | 0 | 2.873 (4/60) | 2.203 (20/60)
C-two-1.0 | phone-390x844-dpr3-coarse | dark | paper | webkit | True | 366 | 3.28 | 3.28 | 0 | 2.905 (3/60) | 2.203 (20/60)
C-two-1.0 | phone-390x844-dpr3-coarse | light | FRAME | chromium | True | 366 | 3.581 | 3.569 | 0 | 3.12 (0/43) | 2.39 (10/60)
C-two-1.0 | phone-390x844-dpr3-coarse | light | FRAME | webkit | True | 366 | 3.581 | 3.581 | 0 | 3.12 (0/43) | 2.452 (10/60)
C-two-1.0 | phone-390x844-dpr3-coarse | light | paper | chromium | True | 366 | 3.581 | 3.581 | 0 | 3.125 (0/60) | 2.394 (16/60)
C-two-1.0 | phone-390x844-dpr3-coarse | light | paper | webkit | True | 366 | 3.581 | 3.581 | 0 | 3.16 (0/60) | 2.366 (16/60)
HEAD-74a2b5d9 | desk-dpr1-fine | dark | FRAME | chromium | False | 640 | 3.763 | 1.219 | 0.167 | 3.412 (0/44) | 2.591 (18/52)
HEAD-74a2b5d9 | desk-dpr1-fine | dark | FRAME | webkit | False | 640 | 3.755 | 1.614 | 0.133 | 3.459 (0/49) | 2.644 (6/52)
HEAD-74a2b5d9 | desk-dpr1-fine | dark | paper | chromium | False | 640 | 3.763 | 3.763 | 0 | 3.303 (0/60) | 2.754 (1/60)
HEAD-74a2b5d9 | desk-dpr1-fine | dark | paper | webkit | False | 640 | 3.755 | 3.755 | 0 | 3.301 (0/60) | 2.758 (1/60)
HEAD-74a2b5d9 | desk-dpr1-fine | light | FRAME | chromium | False | 640 | 3.679 | 1.034 | 0.167 | 3.2 (0/44) | 2.554 (23/52)
HEAD-74a2b5d9 | desk-dpr1-fine | light | FRAME | webkit | False | 640 | 3.685 | 1.502 | 0.133 | 3.358 (0/49) | 2.724 (18/52)
HEAD-74a2b5d9 | desk-dpr1-fine | light | paper | chromium | False | 640 | 3.679 | 3.679 | 0 | 3.2 (0/60) | 2.686 (1/60)
HEAD-74a2b5d9 | desk-dpr1-fine | light | paper | webkit | False | 640 | 3.685 | 3.685 | 0 | 3.164 (0/60) | 2.714 (1/60)
HEAD-74a2b5d9 | land-844x390-dpr3-coarse | dark | FRAME | chromium | True | 366 | 3.763 | 2.127 | 0.25 | 3.26 (0/43) | 2.591 (5/47)
HEAD-74a2b5d9 | land-844x390-dpr3-coarse | dark | FRAME | webkit | True | 366 | 3.755 | 1.03 | 0.35 | 3.252 (0/39) | 2.764 (3/39)
HEAD-74a2b5d9 | land-844x390-dpr3-coarse | dark | paper | chromium | True | 366 | 3.763 | 3.763 | 0 | 3.408 (0/60) | 2.442 (25/60)
HEAD-74a2b5d9 | land-844x390-dpr3-coarse | dark | paper | webkit | True | 366 | 3.755 | 3.755 | 0 | 3.65 (0/60) | 2.469 (32/60)
