ROW   lane-p5geom    no-pre webkit dark  0.95 #2f68aa  FRAME                  run n=60/60 med=3.096 worst=3.082 p30=3.09 frac=0 fracAll=0 vsIn med=2.916 worst=2.006 ring=True d=2 | 50% 1.133 51/60 | 70% 2.164 43/60 | 90% 2.901 4/60 | 100% 3.096 21/60
ROW   lane-p5geom    no-pre webkit dark  0.95 #2f68aa  paper                  run n=60/60 med=3.096 worst=3.096 p30=3.096 frac=0 fracAll=0 vsIn med=2.916 worst=2.311 ring=True d=2 | 50% 1.638 25/60 | 70% 2.618 24/60 | 90% 2.737 18/60 | 100% 3.096 0/60
ROW   lane-p5geom    no-pre webkit dark  0.95 #306cb0  FRAME                  run n=60/60 med=3.274 worst=2.919 p30=2.919 frac=0.35 fracAll=0.35 vsIn med=3.06 worst=1.955 ring=True d=1 | 50% 1.121 59/60 | 70% 2.228 50/60 | 90% 2.919 21/60 | 100% 3.274 21/60
ROW   lane-p5geom    no-pre webkit dark  0.95 #306cb0  paper                  run n=60/60 med=3.274 worst=3.274 p30=3.274 frac=0 fracAll=0 vsIn med=3.06 worst=2.39 ring=True d=1 | 50% 1.684 25/60 | 70% 2.693 12/60 | 90% 2.897 6/60 | 100% 3.274 0/60
ROW   lane-p5geom    no-pre webkit dark  1    #3a7bc4  FRAME                  run n=60/60 med=4.286 worst=2.528 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=3.962 worst=1.773 ring=True d=0 | 50% 1.374 52/60 | 70% 2.712 8/60 | 90% 3.983 11/60 | 100% 4.286 14/60
ROW   lane-p5geom    no-pre webkit dark  1    #3a7bc4  paper                  run n=60/60 med=4.286 worst=4.286 p30=4.286 frac=0 fracAll=0 vsIn med=3.962 worst=2.084 ring=True d=0 | 50% 1.96 18/60 | 70% 3.553 0/60 | 90% 3.715 0/60 | 100% 4.286 0/60
ROW   lane-p5geom    no-pre webkit dark  1    #2f68aa  FRAME                  run n=60/60 med=3.28 worst=3.28 p30=3.28 frac=0 fracAll=0 vsIn med=3.089 worst=2.115 ring=True d=0 | 50% 1.247 48/60 | 70% 2.203 40/60 | 90% 3.043 0/60 | 100% 3.28 14/60
ROW   lane-p5geom    no-pre webkit dark  1    #2f68aa  paper                  run n=60/60 med=3.28 worst=3.28 p30=3.28 frac=0 fracAll=0 vsIn med=3.089 worst=1.858 ring=True d=0 | 50% 1.687 21/60 | 70% 2.776 14/60 | 90% 2.905 8/60 | 100% 3.28 0/60
ROW   lane-p5geom    no-pre webkit dark  1    #306cb0  FRAME                  run n=60/60 med=3.473 worst=3.119 p30=3.473 frac=0 fracAll=0 vsIn med=3.246 worst=2.042 ring=True d=0 | 50% 1.115 47/60 | 70% 2.299 38/60 | 90% 3.033 0/60 | 100% 3.473 14/60
ROW   lane-p5geom    no-pre webkit dark  1    #306cb0  paper                  run n=60/60 med=3.473 worst=3.473 p30=3.473 frac=0 fracAll=0 vsIn med=3.246 worst=1.911 ring=True d=0 | 50% 1.739 20/60 | 70% 2.787 6/60 | 90% 3.039 0/60 | 100% 3.473 0/60
