ROW   lane-graft     no-pre webkit dark  0.95 #2f68aa  paper                  run n=60/60 med=3.096 worst=3.09 p30=3.09 frac=0 fracAll=0 vsIn med=2.916 worst=1.301 ring=True d=2 | 50% 1.638 42/60 | 70% 2.127 38/60 | 90% 2.737 13/60 | 100% 3.096 20/60
ROW   lane-graft     no-pre webkit dark  0.95 #306cb0  FRAME                  run n=60/60 med=3.267 worst=1.907 p30=2.919 frac=0.333 fracAll=0.333 vsIn med=3.054 worst=1.224 ring=True d=1 | 50% 1.139 49/60 | 70% 2.198 44/60 | 90% 2.887 25/60 | 100% 3.267 20/60
ROW   lane-graft     no-pre webkit dark  0.95 #306cb0  paper                  run n=60/60 med=3.274 worst=3.267 p30=3.267 frac=0 fracAll=0 vsIn med=3.06 worst=1.321 ring=True d=1 | 50% 1.684 38/60 | 70% 2.198 30/60 | 90% 2.987 2/60 | 100% 3.274 20/60
ROW   lane-graft     no-pre webkit dark  1    #3a7bc4  FRAME                  run n=60/60 med=4.286 worst=1.039 p30=2.528 frac=0.333 fracAll=0.333 vsIn med=3.962 worst=1.177 ring=True d=0 | 50% 1.255 39/60 | 70% 2.712 26/60 | 90% 3.723 20/60 | 100% 4.286 20/60
ROW   lane-graft     no-pre webkit dark  1    #3a7bc4  paper                  run n=60/60 med=4.286 worst=4.286 p30=4.286 frac=0 fracAll=0 vsIn med=3.962 worst=1.395 ring=True d=0 | 50% 1.96 28/60 | 70% 2.712 9/60 | 90% 3.83 0/60 | 100% 4.286 0/60
ROW   lane-graft     no-pre webkit dark  1    #2f68aa  FRAME                  run n=60/60 med=3.28 worst=1.857 p30=3.28 frac=0.033 fracAll=0.033 vsIn med=3.089 worst=1.193 ring=True d=0 | 50% 1.121 44/60 | 70% 2.299 35/60 | 90% 2.905 5/60 | 100% 3.28 20/60
ROW   lane-graft     no-pre webkit dark  1    #2f68aa  paper                  run n=60/60 med=3.28 worst=3.28 p30=3.28 frac=0 fracAll=0 vsIn med=3.089 worst=1.336 ring=True d=0 | 50% 1.687 38/60 | 70% 2.263 29/60 | 90% 2.96 3/60 | 100% 3.28 0/60
ROW   lane-graft     no-pre webkit dark  1    #306cb0  FRAME                  run n=60/60 med=3.473 worst=1.754 p30=3.119 frac=0.033 fracAll=0.033 vsIn med=3.246 worst=1.24 ring=True d=0 | 50% 1.498 41/60 | 70% 2.299 31/60 | 90% 3.033 2/60 | 100% 3.473 20/60
ROW   lane-graft     no-pre webkit dark  1    #306cb0  paper                  run n=60/60 med=3.473 worst=3.473 p30=3.473 frac=0 fracAll=0 vsIn med=3.246 worst=1.338 ring=True d=0 | 50% 1.739 36/60 | 70% 2.299 29/60 | 90% 3.127 0/60 | 100% 3.473 0/60
ROW   lane-graft     no-pre webkit light               board cell 0           run n=60/60 med=3.965 worst=3.925 p30=3.965 frac=0 fracAll=0 vsIn med=3.615 worst=1.707 ring=True d=1.414 | 50% 1.892 20/60 | 70% 2.497 10/60 | 90% 3.4 0/60 | 100% 3.965 3/60
ROW   lane-graft     no-pre webkit light               board cell 40          run n=60/60 med=3.965 worst=3.925 p30=3.965 frac=0 fracAll=0 vsIn med=3.615 worst=2.445 ring=True d=1.414 | 50% 1.87 26/60 | 70% 2.681 9/60 | 90% 3.367 0/60 | 100% 3.965 4/60
ROW   lane-graft     no-pre webkit light               button.logo-trigger    run n=60/60 med=4.188 worst=3.493 p30=4.188 frac=0 fracAll=0 vsIn med=4.188 worst=2.103 ring=True d=0 | 50% 1.927 41/60 | 70% 2.585 11/60 | 90% 3.629 2/60 | 100% 4.188 3/60
ROW   lane-graft     no-pre webkit light               .drawer-tab            run n=60/60 med=4.188 worst=2.235 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=4.106 worst=1.027 ring=True d=0 | 50% 1.952 37/60 | 70% 2.584 18/60 | 90% 3.529 9/60 | 100% 4.188 13/60
ROW   lane-graft     no-pre webkit light               .controls-card button  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=4.289 worst=4.289 ring=True d=0 | 50% 1.976 26/60 | 70% 2.648 1/60 | 90% 3.627 0/60 | 100% 4.289 0/60
ROW   lane-graft     no-pre webkit dark                board cell 0           run n=60/60 med=3.997 worst=3.989 p30=3.997 frac=0 fracAll=0 vsIn med=3.695 worst=1.692 ring=True d=1 | 50% 1.304 28/60 | 70% 2.625 8/60 | 90% 3.461 0/60 | 100% 3.997 7/60
ROW   lane-graft     no-pre webkit dark                board cell 40          run n=60/60 med=3.997 worst=3.989 p30=3.997 frac=0 fracAll=0 vsIn med=3.695 worst=2.56 ring=True d=1 | 50% 1.876 26/60 | 70% 2.758 7/60 | 90% 3.499 0/60 | 100% 3.997 12/60
ROW   lane-graft     no-pre webkit dark                button.logo-trigger    run n=60/60 med=4.379 worst=3.361 p30=4.379 frac=0 fracAll=0 vsIn med=4.379 worst=2.186 ring=True d=0 | 50% 1.98 40/60 | 70% 2.73 8/60 | 90% 3.748 2/60 | 100% 4.379 3/60
ROW   lane-graft     no-pre webkit dark                .drawer-tab            run n=60/60 med=4.286 worst=2.359 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=3.338 worst=1.024 ring=True d=0 | 50% 1.355 40/60 | 70% 2.644 15/60 | 90% 3.689 8/60 | 100% 4.286 13/60
ROW   lane-graft     no-pre webkit dark                .controls-card button  run n=60/60 med=4.286 worst=4.286 p30=4.286 frac=0 fracAll=0 vsIn med=4.286 worst=4.286 ring=True d=0 | 50% 1.96 26/60 | 70% 3.158 0/60 | 90% 3.715 0/60 | 100% 4.286 0/60
LAW39 lane-graft     reduce webkit light               drawn ring             run1 n=60/60 med=4.188 worst=2.235 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.952 37/60 | 70% 2.584 17/60 | 90% 3.587 10/60 | 100% 4.188 14/60
